chr	start	end	value1
NC_002505.1	157001	158000	0
NC_002505.1	158001	159000	0
NC_002505.1	159001	160000	0
NC_002505.1	160001	161000	0
NC_002505.1	161001	162000	0
NC_002505.1	162001	163000	0
NC_002505.1	163001	164000	0
NC_002505.1	164001	165000	0
NC_002505.1	165001	166000	0
NC_002505.1	166001	167000	0
NC_002505.1	167001	168000	0
NC_002505.1	168001	169000	0
NC_002505.1	169001	170000	0
NC_002505.1	170001	171000	0
NC_002505.1	171001	172000	0
NC_002505.1	172001	173000	0
NC_002505.1	173001	174000	0
NC_002505.1	174001	175000	0
NC_002505.1	175001	176000	0
NC_002505.1	176001	177000	0
NC_002505.1	177001	178000	0
NC_002505.1	178001	179000	0
NC_002505.1	179001	180000	0
NC_002505.1	180001	181000	0
NC_002505.1	181001	182000	0
NC_002505.1	182001	183000	0
NC_002505.1	183001	184000	0
NC_002505.1	184001	185000	0
NC_002505.1	185001	186000	0
NC_002505.1	186001	187000	0
NC_002505.1	187001	188000	0
NC_002505.1	188001	189000	0
NC_002505.1	189001	190000	0
NC_002505.1	190001	191000	0
NC_002505.1	191001	192000	0
NC_002505.1	192001	193000	0
NC_002505.1	193001	194000	0
NC_002505.1	194001	195000	0
NC_002505.1	195001	196000	0
NC_002505.1	196001	197000	0
NC_002505.1	197001	198000	0
NC_002505.1	198001	199000	0
NC_002505.1	199001	2e+05	0
NC_002505.1	200001	201000	0
NC_002505.1	201001	202000	0
NC_002505.1	202001	203000	0
NC_002505.1	203001	204000	0
NC_002505.1	204001	205000	0
NC_002505.1	205001	206000	0
NC_002505.1	206001	207000	0
NC_002505.1	207001	208000	1.384
NC_002505.1	208001	209000	0.899
NC_002505.1	209001	210000	0
NC_002505.1	210001	211000	0
NC_002505.1	211001	212000	0
NC_002505.1	212001	213000	0
NC_002505.1	213001	214000	0
NC_002505.1	214001	215000	0
NC_002505.1	215001	216000	0
NC_002505.1	216001	217000	0
NC_002505.1	217001	218000	0
NC_002505.1	218001	219000	0
NC_002505.1	219001	220000	0
NC_002505.1	220001	221000	0
NC_002505.1	221001	222000	0
NC_002505.1	222001	223000	0
NC_002505.1	223001	224000	0
NC_002505.1	224001	225000	0
NC_002505.1	225001	226000	0
NC_002505.1	226001	227000	0
NC_002505.1	227001	228000	0
NC_002505.1	228001	229000	0
NC_002505.1	229001	230000	0
NC_002505.1	230001	231000	0
NC_002505.1	231001	232000	0
NC_002505.1	232001	233000	0
NC_002505.1	233001	234000	0
NC_002505.1	234001	235000	0
NC_002505.1	235001	236000	0
NC_002505.1	236001	237000	0
NC_002505.1	237001	238000	0
NC_002505.1	238001	239000	0
NC_002505.1	239001	240000	0
NC_002505.1	240001	241000	0.557
NC_002505.1	241001	242000	0
NC_002505.1	242001	243000	0
NC_002505.1	243001	244000	0
NC_002505.1	244001	245000	0
NC_002505.1	245001	246000	0
NC_002505.1	246001	247000	0
NC_002505.1	247001	248000	0
NC_002505.1	248001	249000	0
NC_002505.1	249001	250000	0
NC_002505.1	250001	251000	0
NC_002505.1	251001	252000	0
NC_002505.1	252001	253000	0
NC_002505.1	253001	254000	0
NC_002505.1	254001	255000	0
NC_002505.1	255001	256000	0
NC_002505.1	256001	257000	0
NC_002505.1	257001	258000	0
NC_002505.1	258001	259000	0
NC_002505.1	259001	260000	0
NC_002505.1	260001	261000	0
NC_002505.1	261001	262000	0
NC_002505.1	262001	263000	0
NC_002505.1	263001	264000	0
NC_002505.1	264001	265000	0
NC_002505.1	265001	266000	0
NC_002505.1	266001	267000	0
NC_002505.1	267001	268000	0
NC_002505.1	268001	269000	0
NC_002505.1	269001	270000	0
NC_002505.1	270001	271000	0
NC_002505.1	271001	272000	0
NC_002505.1	272001	273000	0
NC_002505.1	273001	274000	0
NC_002505.1	274001	275000	0
NC_002505.1	275001	276000	0
NC_002505.1	276001	277000	0
NC_002505.1	277001	278000	0
NC_002505.1	278001	279000	0
NC_002505.1	279001	280000	0
NC_002505.1	280001	281000	0
NC_002505.1	281001	282000	0
NC_002505.1	282001	283000	0
NC_002505.1	283001	284000	0
NC_002505.1	284001	285000	0
NC_002505.1	285001	286000	0
NC_002505.1	286001	287000	0
NC_002505.1	287001	288000	0.057
NC_002505.1	288001	289000	0.652
NC_002505.1	289001	290000	0
NC_002505.1	290001	291000	0
NC_002505.1	291001	292000	0
NC_002505.1	292001	293000	0
NC_002505.1	293001	294000	0
NC_002505.1	294001	295000	0
NC_002505.1	295001	296000	0
NC_002505.1	296001	297000	0
NC_002505.1	297001	298000	0
NC_002505.1	298001	299000	0
NC_002505.1	299001	3e+05	0
NC_002505.1	300001	301000	0
NC_002505.1	301001	302000	0
NC_002505.1	302001	303000	1.503
NC_002505.1	303001	304000	0.47
NC_002505.1	304001	305000	0.565
NC_002505.1	305001	306000	0
NC_002505.1	306001	307000	0
NC_002505.1	307001	308000	0
NC_002505.1	308001	309000	0
NC_002505.1	309001	310000	0
NC_002505.1	310001	311000	0
NC_002505.1	311001	312000	0
NC_002505.1	312001	313000	0
NC_002505.1	313001	314000	0
NC_002505.1	314001	315000	0
NC_002505.1	315001	316000	0
NC_002505.1	316001	317000	0
NC_002505.1	317001	318000	0
NC_002505.1	318001	319000	0
NC_002505.1	319001	320000	0
NC_002505.1	320001	321000	0
NC_002505.1	321001	322000	0
NC_002505.1	322001	323000	0
NC_002505.1	323001	324000	0
NC_002505.1	324001	325000	0
NC_002505.1	325001	326000	0
NC_002505.1	326001	327000	0
NC_002505.1	327001	328000	0
NC_002505.1	328001	329000	0.23
NC_002505.1	329001	330000	0
NC_002505.1	330001	331000	0
NC_002505.1	331001	332000	0
NC_002505.1	332001	333000	0
NC_002505.1	333001	334000	0
NC_002505.1	334001	335000	0
NC_002505.1	335001	336000	0
NC_002505.1	336001	337000	0
NC_002505.1	337001	338000	0
NC_002505.1	338001	339000	0
NC_002505.1	339001	340000	0
NC_002505.1	340001	341000	0
NC_002505.1	341001	342000	0
NC_002505.1	342001	343000	0
NC_002505.1	343001	344000	0
NC_002505.1	344001	345000	0
NC_002505.1	345001	346000	0
NC_002505.1	346001	347000	0
NC_002505.1	347001	348000	0.562
NC_002505.1	348001	349000	0.104
NC_002505.1	349001	350000	0
NC_002505.1	350001	351000	0
NC_002505.1	351001	352000	0
NC_002505.1	352001	353000	0
NC_002505.1	353001	354000	0
NC_002505.1	354001	355000	0
NC_002505.1	355001	356000	0
NC_002505.1	356001	357000	0.835
NC_002505.1	357001	358000	0
NC_002505.1	358001	359000	0
NC_002505.1	359001	360000	0
NC_002505.1	360001	361000	0
NC_002505.1	361001	362000	0
NC_002505.1	362001	363000	0
NC_002505.1	363001	364000	0
NC_002505.1	364001	365000	0
NC_002505.1	365001	366000	0
NC_002505.1	366001	367000	0
NC_002505.1	367001	368000	0
NC_002505.1	368001	369000	0
NC_002505.1	369001	370000	0
NC_002505.1	370001	371000	0
NC_002505.1	371001	372000	0
NC_002505.1	372001	373000	0
NC_002505.1	373001	374000	0
NC_002505.1	374001	375000	0
NC_002505.1	375001	376000	0
NC_002505.1	376001	377000	0
NC_002505.1	377001	378000	0
NC_002505.1	378001	379000	0
NC_002505.1	379001	380000	0
NC_002505.1	380001	381000	0
NC_002505.1	381001	382000	0
NC_002505.1	382001	383000	0
NC_002505.1	383001	384000	0
NC_002505.1	384001	385000	0
NC_002505.1	385001	386000	0
NC_002505.1	386001	387000	0
NC_002505.1	387001	388000	0
NC_002505.1	388001	389000	0
NC_002505.1	389001	390000	0
NC_002505.1	390001	391000	0
NC_002505.1	391001	392000	0
NC_002505.1	392001	393000	0
NC_002505.1	393001	394000	0
NC_002505.1	394001	395000	0
NC_002505.1	395001	396000	0
NC_002505.1	396001	397000	0
NC_002505.1	397001	398000	0
NC_002505.1	398001	399000	0
NC_002505.1	399001	4e+05	0
NC_002505.1	400001	401000	0
NC_002505.1	401001	402000	0
NC_002505.1	402001	403000	0
NC_002505.1	403001	404000	0
NC_002505.1	404001	405000	0
NC_002505.1	405001	406000	0.23
NC_002505.1	406001	407000	0
NC_002505.1	407001	408000	0
NC_002505.1	408001	409000	0
NC_002505.1	409001	410000	0
NC_002505.1	410001	411000	0
NC_002505.1	411001	412000	0
NC_002505.1	412001	413000	0
NC_002505.1	413001	414000	0.392
NC_002505.1	414001	415000	0.673
NC_002505.1	415001	416000	0
NC_002505.1	416001	417000	0
NC_002505.1	417001	418000	0
NC_002505.1	418001	419000	0
NC_002505.1	419001	420000	0
NC_002505.1	420001	421000	0
NC_002505.1	421001	422000	0
NC_002505.1	422001	423000	0
NC_002505.1	423001	424000	0
NC_002505.1	424001	425000	0
NC_002505.1	425001	426000	0
NC_002505.1	426001	427000	0
NC_002505.1	427001	428000	0
NC_002505.1	428001	429000	0
NC_002505.1	429001	430000	0
NC_002505.1	430001	431000	0
NC_002505.1	431001	432000	0
NC_002505.1	432001	433000	0
NC_002505.1	433001	434000	0
NC_002505.1	434001	435000	0
NC_002505.1	435001	436000	0
NC_002505.1	436001	437000	0
NC_002505.1	437001	438000	0
NC_002505.1	438001	439000	0
NC_002505.1	439001	440000	0
NC_002505.1	440001	441000	0
NC_002505.1	441001	442000	0
NC_002505.1	442001	443000	0
NC_002505.1	443001	444000	0
NC_002505.1	444001	445000	0
NC_002505.1	445001	446000	0
NC_002505.1	446001	447000	0
NC_002505.1	447001	448000	0
NC_002505.1	448001	449000	0
NC_002505.1	449001	450000	0
NC_002505.1	450001	451000	0
NC_002505.1	451001	452000	0
NC_002505.1	452001	453000	0
NC_002505.1	453001	454000	0
NC_002505.1	454001	455000	0
NC_002505.1	455001	456000	0
NC_002505.1	456001	457000	0
NC_002505.1	457001	458000	0
NC_002505.1	458001	459000	0
NC_002505.1	459001	460000	0
NC_002505.1	460001	461000	0
NC_002505.1	461001	462000	0
NC_002505.1	462001	463000	0
NC_002505.1	463001	464000	0
NC_002505.1	464001	465000	0
NC_002505.1	465001	466000	0
NC_002505.1	466001	467000	0
NC_002505.1	467001	468000	0
NC_002505.1	468001	469000	0
NC_002505.1	469001	470000	0
NC_002505.1	470001	471000	0
NC_002505.1	471001	472000	0
NC_002505.1	472001	473000	0
NC_002505.1	473001	474000	0
NC_002505.1	474001	475000	0
NC_002505.1	475001	476000	0
NC_002505.1	476001	477000	0
NC_002505.1	477001	478000	0
NC_002505.1	478001	479000	0
NC_002505.1	479001	480000	0
NC_002505.1	480001	481000	0
NC_002505.1	481001	482000	0
NC_002505.1	482001	483000	0
NC_002505.1	483001	484000	0
NC_002505.1	484001	485000	0
NC_002505.1	485001	486000	0
NC_002505.1	486001	487000	0
NC_002505.1	487001	488000	0
NC_002505.1	488001	489000	0
NC_002505.1	489001	490000	0
NC_002505.1	490001	491000	0
NC_002505.1	491001	492000	0
NC_002505.1	492001	493000	0
NC_002505.1	493001	494000	0
NC_002505.1	494001	495000	0
NC_002505.1	495001	496000	0
NC_002505.1	496001	497000	0
NC_002505.1	497001	498000	0
NC_002505.1	498001	499000	0
NC_002505.1	499001	5e+05	0
NC_002505.1	500001	501000	0
NC_002505.1	501001	502000	0
NC_002505.1	502001	503000	0
NC_002505.1	503001	504000	0.028
NC_002505.1	504001	505000	1.216
NC_002505.1	505001	506000	0
NC_002505.1	506001	507000	0
NC_002505.1	507001	508000	0
NC_002505.1	508001	509000	0
NC_002505.1	509001	510000	0
NC_002505.1	510001	511000	0
NC_002505.1	511001	512000	0
NC_002505.1	512001	513000	0
NC_002505.1	513001	514000	0
NC_002505.1	514001	515000	0
NC_002505.1	515001	516000	0
NC_002505.1	516001	517000	0
NC_002505.1	517001	518000	0
NC_002505.1	518001	519000	0
NC_002505.1	519001	520000	0
NC_002505.1	520001	521000	0
NC_002505.1	521001	522000	0
NC_002505.1	522001	523000	0
NC_002505.1	523001	524000	0
NC_002505.1	524001	525000	0
NC_002505.1	525001	526000	0
NC_002505.1	526001	527000	0
NC_002505.1	527001	528000	0
NC_002505.1	528001	529000	0
NC_002505.1	529001	530000	0
NC_002505.1	530001	531000	0
NC_002505.1	531001	532000	0
NC_002505.1	532001	533000	0
NC_002505.1	533001	534000	0
NC_002505.1	534001	535000	0
NC_002505.1	535001	536000	0
NC_002505.1	536001	537000	0
NC_002505.1	537001	538000	0
NC_002505.1	538001	539000	0
NC_002505.1	539001	540000	0
NC_002505.1	540001	541000	0
NC_002505.1	541001	542000	0
NC_002505.1	542001	543000	0
NC_002505.1	543001	544000	0
NC_002505.1	544001	545000	0
NC_002505.1	545001	546000	0
NC_002505.1	546001	547000	0
NC_002505.1	547001	548000	0
NC_002505.1	548001	549000	0
NC_002505.1	549001	550000	0
NC_002505.1	550001	551000	0
NC_002505.1	551001	552000	0.583
NC_002505.1	552001	553000	0.325
NC_002505.1	553001	554000	0
NC_002505.1	554001	555000	0
NC_002505.1	555001	556000	0
NC_002505.1	556001	557000	0
NC_002505.1	557001	558000	0
NC_002505.1	558001	559000	0
NC_002505.1	559001	560000	0
NC_002505.1	560001	561000	0
NC_002505.1	561001	562000	0
NC_002505.1	562001	563000	0
NC_002505.1	563001	564000	0
NC_002505.1	564001	565000	0
NC_002505.1	565001	566000	0
NC_002505.1	566001	567000	0
NC_002505.1	567001	568000	0
NC_002505.1	568001	569000	0
NC_002505.1	569001	570000	0
NC_002505.1	570001	571000	0
NC_002505.1	571001	572000	0
NC_002505.1	572001	573000	0
NC_002505.1	573001	574000	0
NC_002505.1	574001	575000	0
NC_002505.1	575001	576000	0
NC_002505.1	576001	577000	0
NC_002505.1	577001	578000	0
NC_002505.1	578001	579000	0
NC_002505.1	579001	580000	0
NC_002505.1	580001	581000	0
NC_002505.1	581001	582000	0
NC_002505.1	582001	583000	0
NC_002505.1	583001	584000	0
NC_002505.1	584001	585000	0
NC_002505.1	585001	586000	0
NC_002505.1	586001	587000	0
NC_002505.1	587001	588000	0
NC_002505.1	588001	589000	0
NC_002505.1	589001	590000	0
NC_002505.1	590001	591000	0
NC_002505.1	591001	592000	0
NC_002505.1	592001	593000	0
NC_002505.1	593001	594000	0
NC_002505.1	594001	595000	0
NC_002505.1	595001	596000	0
NC_002505.1	596001	597000	0
NC_002505.1	597001	598000	0
NC_002505.1	598001	599000	0
NC_002505.1	599001	6e+05	0
NC_002505.1	600001	601000	0
NC_002505.1	601001	602000	0
NC_002505.1	602001	603000	0
NC_002505.1	603001	604000	0
NC_002505.1	604001	605000	0
NC_002505.1	605001	606000	0
NC_002505.1	606001	607000	0
NC_002505.1	607001	608000	0
NC_002505.1	608001	609000	0.841
NC_002505.1	609001	610000	0
NC_002505.1	610001	611000	0
NC_002505.1	611001	612000	0
NC_002505.1	612001	613000	0
NC_002505.1	613001	614000	0
NC_002505.1	614001	615000	0
NC_002505.1	615001	616000	0
NC_002505.1	616001	617000	0
NC_002505.1	617001	618000	0.372
NC_002505.1	618001	619000	0
NC_002505.1	619001	620000	0
NC_002505.1	620001	621000	0
NC_002505.1	621001	622000	0
NC_002505.1	622001	623000	0
NC_002505.1	623001	624000	0
NC_002505.1	624001	625000	0
NC_002505.1	625001	626000	0
NC_002505.1	626001	627000	0
NC_002505.1	627001	628000	0
NC_002505.1	628001	629000	0
NC_002505.1	629001	630000	0
NC_002505.1	630001	631000	0
NC_002505.1	631001	632000	0
NC_002505.1	632001	633000	0
NC_002505.1	633001	634000	0
NC_002505.1	634001	635000	0
NC_002505.1	635001	636000	0
NC_002505.1	636001	637000	0
NC_002505.1	637001	638000	0
NC_002505.1	638001	639000	0
NC_002505.1	639001	640000	0
NC_002505.1	640001	641000	0
NC_002505.1	641001	642000	0
NC_002505.1	642001	643000	0
NC_002505.1	643001	644000	0
NC_002505.1	644001	645000	1.828
NC_002505.1	645001	646000	0
NC_002505.1	646001	647000	0
NC_002505.1	647001	648000	0
NC_002505.1	648001	649000	0
NC_002505.1	649001	650000	0
NC_002505.1	650001	651000	0
NC_002505.1	651001	652000	0
NC_002505.1	652001	653000	0
NC_002505.1	653001	654000	0
NC_002505.1	654001	655000	0
NC_002505.1	655001	656000	0
NC_002505.1	656001	657000	0
NC_002505.1	657001	658000	0
NC_002505.1	658001	659000	0
NC_002505.1	659001	660000	0
NC_002505.1	660001	661000	0
NC_002505.1	661001	662000	0
NC_002505.1	662001	663000	0
NC_002505.1	663001	664000	0
NC_002505.1	664001	665000	0
NC_002505.1	665001	666000	0
NC_002505.1	666001	667000	0
NC_002505.1	667001	668000	0
NC_002505.1	668001	669000	0
NC_002505.1	669001	670000	0.577
NC_002505.1	670001	671000	0
NC_002505.1	671001	672000	0
NC_002505.1	672001	673000	0
NC_002505.1	673001	674000	0
NC_002505.1	674001	675000	0
NC_002505.1	675001	676000	0
NC_002505.1	676001	677000	0
NC_002505.1	677001	678000	0
NC_002505.1	678001	679000	0
NC_002505.1	679001	680000	0
NC_002505.1	680001	681000	0
NC_002505.1	681001	682000	0
NC_002505.1	682001	683000	0
NC_002505.1	683001	684000	0
NC_002505.1	684001	685000	0
NC_002505.1	685001	686000	0
NC_002505.1	686001	687000	0
NC_002505.1	687001	688000	0
NC_002505.1	688001	689000	0
NC_002505.1	689001	690000	0
NC_002505.1	690001	691000	0
NC_002505.1	691001	692000	0
NC_002505.1	692001	693000	0
NC_002505.1	693001	694000	0
NC_002505.1	694001	695000	0
NC_002505.1	695001	696000	0
NC_002505.1	696001	697000	0
NC_002505.1	697001	698000	0
NC_002505.1	698001	699000	0
NC_002505.1	699001	7e+05	0
NC_002505.1	700001	701000	0
NC_002505.1	701001	702000	0
NC_002505.1	702001	703000	0
NC_002505.1	703001	704000	0
NC_002505.1	704001	705000	0
NC_002505.1	705001	706000	0
NC_002505.1	706001	707000	0
NC_002505.1	707001	708000	0
NC_002505.1	708001	709000	0
NC_002505.1	709001	710000	0
NC_002505.1	710001	711000	0
NC_002505.1	711001	712000	0
NC_002505.1	712001	713000	0
NC_002505.1	713001	714000	0
NC_002505.1	714001	715000	0
NC_002505.1	715001	716000	0
NC_002505.1	716001	717000	0
NC_002505.1	717001	718000	0
NC_002505.1	718001	719000	0
NC_002505.1	719001	720000	0
NC_002505.1	720001	721000	0
NC_002505.1	721001	722000	0
NC_002505.1	722001	723000	0
NC_002505.1	723001	724000	0
NC_002505.1	724001	725000	0
NC_002505.1	725001	726000	0
NC_002505.1	726001	727000	0
NC_002505.1	727001	728000	0
NC_002505.1	728001	729000	0
NC_002505.1	729001	730000	0
NC_002505.1	730001	731000	0
NC_002505.1	731001	732000	0
NC_002505.1	732001	733000	0
NC_002505.1	733001	734000	0
NC_002505.1	734001	735000	0
NC_002505.1	735001	736000	0
NC_002505.1	736001	737000	0
NC_002505.1	737001	738000	0
NC_002505.1	738001	739000	0
NC_002505.1	739001	740000	0
NC_002505.1	740001	741000	0
NC_002505.1	741001	742000	0
NC_002505.1	742001	743000	0
NC_002505.1	743001	744000	0
NC_002505.1	744001	745000	0
NC_002505.1	745001	746000	0
NC_002505.1	746001	747000	0
NC_002505.1	747001	748000	0
NC_002505.1	748001	749000	0
NC_002505.1	749001	750000	0
NC_002505.1	750001	751000	0
NC_002505.1	751001	752000	0
NC_002505.1	752001	753000	0
NC_002505.1	753001	754000	0
NC_002505.1	754001	755000	0
NC_002505.1	755001	756000	0
NC_002505.1	756001	757000	0
NC_002505.1	757001	758000	0
NC_002505.1	758001	759000	0
NC_002505.1	759001	760000	0
NC_002505.1	760001	761000	0
NC_002505.1	761001	762000	0
NC_002505.1	762001	763000	0
NC_002505.1	763001	764000	0
NC_002505.1	764001	765000	0
NC_002505.1	765001	766000	0
NC_002505.1	766001	767000	0.416
NC_002505.1	767001	768000	0
NC_002505.1	768001	769000	0
NC_002505.1	769001	770000	0
NC_002505.1	770001	771000	0
NC_002505.1	771001	772000	0
NC_002505.1	772001	773000	0
NC_002505.1	773001	774000	0
NC_002505.1	774001	775000	0
NC_002505.1	775001	776000	0
NC_002505.1	776001	777000	0
NC_002505.1	777001	778000	0
NC_002505.1	778001	779000	0
NC_002505.1	779001	780000	0
NC_002505.1	780001	781000	0
NC_002505.1	781001	782000	0
NC_002505.1	782001	783000	0
NC_002505.1	783001	784000	0
NC_002505.1	784001	785000	0
NC_002505.1	785001	786000	0
NC_002505.1	786001	787000	0
NC_002505.1	787001	788000	0
NC_002505.1	788001	789000	0
NC_002505.1	789001	790000	0
NC_002505.1	790001	791000	0
NC_002505.1	791001	792000	0
NC_002505.1	792001	793000	0
NC_002505.1	793001	794000	0
NC_002505.1	794001	795000	0
NC_002505.1	795001	796000	0
NC_002505.1	796001	797000	0
NC_002505.1	797001	798000	0
NC_002505.1	798001	799000	0
NC_002505.1	799001	8e+05	0
NC_002505.1	800001	801000	0
NC_002505.1	801001	802000	0
NC_002505.1	802001	803000	0
NC_002505.1	803001	804000	0
NC_002505.1	804001	805000	0
NC_002505.1	805001	806000	0
NC_002505.1	806001	807000	0
NC_002505.1	807001	808000	0
NC_002505.1	808001	809000	0
NC_002505.1	809001	810000	0
NC_002505.1	810001	811000	0
NC_002505.1	811001	812000	0
NC_002505.1	812001	813000	0
NC_002505.1	813001	814000	0
NC_002505.1	814001	815000	0
NC_002505.1	815001	816000	0
NC_002505.1	816001	817000	0
NC_002505.1	817001	818000	0
NC_002505.1	818001	819000	0
NC_002505.1	819001	820000	0
NC_002505.1	820001	821000	0
NC_002505.1	821001	822000	0
NC_002505.1	822001	823000	0
NC_002505.1	823001	824000	0
NC_002505.1	824001	825000	0
NC_002505.1	825001	826000	0
NC_002505.1	826001	827000	0
NC_002505.1	827001	828000	0
NC_002505.1	828001	829000	0
NC_002505.1	829001	830000	0
NC_002505.1	830001	831000	0
NC_002505.1	831001	832000	0
NC_002505.1	832001	833000	0
NC_002505.1	833001	834000	0
NC_002505.1	834001	835000	0
NC_002505.1	835001	836000	0
NC_002505.1	836001	837000	0
NC_002505.1	837001	838000	0
NC_002505.1	838001	839000	0
NC_002505.1	839001	840000	0
NC_002505.1	840001	841000	0
NC_002505.1	841001	842000	0
NC_002505.1	842001	843000	0
NC_002505.1	843001	844000	0
NC_002505.1	844001	845000	0
NC_002505.1	845001	846000	0
NC_002505.1	846001	847000	0
NC_002505.1	847001	848000	0
NC_002505.1	848001	849000	1.413
NC_002505.1	849001	850000	0
NC_002505.1	850001	851000	0
NC_002505.1	851001	852000	0
NC_002505.1	852001	853000	0
NC_002505.1	853001	854000	0
NC_002505.1	854001	855000	0
NC_002505.1	855001	856000	0
NC_002505.1	856001	857000	0
NC_002505.1	857001	858000	0
NC_002505.1	858001	859000	0
NC_002505.1	859001	860000	0
NC_002505.1	860001	861000	0
NC_002505.1	861001	862000	0
NC_002505.1	862001	863000	0
NC_002505.1	863001	864000	0
NC_002505.1	864001	865000	0
NC_002505.1	865001	866000	0
NC_002505.1	866001	867000	0
NC_002505.1	867001	868000	0
